,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,strain_type
0,$100 OG,0,0,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.271578812,,0.557309337,0.658570341,,0.541390221,0.978085871,1,,,0.353582944,,,,0.551632504,,,0.078722537,,,,1,0.700700878,,0.586763899,,,,0.629376588,hybrid
1,'98 Aloha White Widow,2,0,0.57,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.680412371,,0.711340206,0.907216495,,,,,,1,,1,,,,,,,0.618556701,,1,0.24,,,,,,,hybrid
2,1024,0,0,0.3,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686098655,0.206185567,0.123444598,0.812866506,,1,,,,,,,0.021726249,,1,,,,,0.123444598,,,0.827167981,0.724042773,0.256215888,,0.803380476,0.172832019,,,,sativa
3,13 Dawgs,0,0,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,0.666666667,0.285714286,,,,,0.285714286,,0.333333333,,1,0.666666667,0.285714286,0.333333333,,,1,,1,0.380952381,,,,,,0.666666667,,hybrid
4,22,0,0,0.54,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,0.673913043,,0.333333333,,0.666666667,,,,0.333333333,0.666666667,,0.695652174,,,,,,1,,,,0.52173913,,,,,hybrid
5,24k Gold,0,0,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.409387755,,0.38989899,1,0.66869648,0.392727273,,1,,,0.241632653,,,,0.950142721,0.244897959,,,,,0.808080808,0.922169363,,,0.538915319,,,0.303838384,,hybrid
6,3 Bears OG,1,0,0.93,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.838926174,0.677852349,0.5,0.677852349,1,,,,,,,,0.094339623,,,,,,1,1,,0.644295302,,,,0.5,indica
7,3 Kings,3,0,0.29,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.714630263,0.447902087,0.382663022,,,0.942923711,,,,1,,,0.599433815,0.555183229,,,0.566155809,,,0.603670441,,,0.725733784,1,0.633123219,,0.643855664,,,,,sativa
8,303 OG,0,0,0.6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.268678161,,0.103225806,,,,0.747126437,,,0.525345622,,,0.051612903,,0.907834101,,0.981321839,,,,,,0.500768049,1,1,,0.827586207,,,0.944700461,,hybrid
9,3D CBD,2,0,0.34,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.276923077,0.6,,,,0.415384615,,0.6,,0.7,,,,,,,1,,0.769230769,,,,,0.507692308,1,,,,,,0.4,sativa
10,3X Crazy,1,0,0.71,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.459768745,0.057200201,,0.316009059,0.657415885,,,0.726997024,1,0.501106279,,0.174611139,,,,,,,0.155544405,,,,1,0.779552589,,0.496089876,,,,0.632018119,indica
11,3rd Coast Panama Chunk,0,0,0.55,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,0.785714286,,0.24,,0.24,,,,0.892857143,,,,,,,1,,0.12,,,,1,,1,,,,,0.892857143,,hybrid
12,501st OG,3,0,0.709881964,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411144578,,0.013550136,,,,0.377008032,,,1,,,0.013550136,0.667011375,0.701137539,,0.736445783,0.033875339,,,,,,1,0.940020683,,0.633534137,,,0.742502585,,indica
13,5th Element,0,0,0.534549318,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.459962756,0.052398227,,0.620732464,0.773221117,,0.689944134,,1,,,,,,,0.519739862,0.193873438,,0.246271665,0.526702372,,,1,0.689944134,,0.896403979,,,,,hybrid
14,707 Headband,0,0,0.5,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.37772193,0.097835704,,,0.703212074,0.575467157,0.358348312,,0.83758291,,,,,,,0.617182403,0.092731233,,0.105492411,,,0.777935071,1,1,,0.823469639,,,,,hybrid
15,8 Ball Kush,1,0,1,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533081285,0.009057971,,,1,,,0.399468556,0.533081285,,,,,,,0.43489814,0.018115942,,0.009057971,0.41275465,,0.761814745,0.937112489,1,,,,,,0.52362949,indica
16,818 OG,2,0,0.7,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.966887417,,,0.622516556,0.971910112,0.32781457,,,0.514044944,,,,,,0.25,,,0.556179775,1,1,,0.360927152,,,,1,indica
17,831 OG,2,0,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.571428571,,,,0.727272727,,,1,,0.363636364,,,,,,0.571428571,,,1,,0.571428571,1,1,,0.727272727,,0.571428571,,1,indica
18,9 Pound Hammer,0,0,0.8,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.351737846,,,0.440316114,,0.446598473,0.791630049,0.895759438,,,0.115956457,,,,,0.263311165,,,0.310031223,,0.685211588,1,1,,0.42173201,,,,0.824927698,indica
19,91 Krypt,3,0,0.83,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.666666667,,0.666666667,0.862068966,0.793103448,,,1,,,,,0.5,,,,,,,0.793103448,0.833333333,1,,,0.862068966,,,,0.5,indica
20,A-10,0,0,0.9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.06840796,,0.507260407,0.468523002,,,0.423123487,,,,0.645522388,0.61374637,,,,,,0.080845771,1,,,0.646489104,,,0.812953995,,1,0.502420136,0.715392062,indica
21,A-Dub,3,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0.437741013,,,0.870472535,,,0.036627907,0.654113696,,,0.727951238,0.036627907,,,,,0.825137923,0.754820251,1,,0.774972011,,,0.654113696,,hybrid
22,A-Train,3,0,0.5,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913385827,,0.451612903,1,0.213823529,,,1,0.779705882,,0.015748031,,,,,,,0.035433071,,,0.741935484,0.217058824,0.709677419,,0.857352941,,,,0.483870968,hybrid
23,ACDC,3,0,0.375,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.745094367,0.693892088,,0.371377161,,0.769939536,,,,0.944006642,,,0.47179265,,0.406466433,,0.694667049,0.335947824,,0.239418284,,,0.609666839,1,1,,,,,,,hybrid
24,AK-47,3,0,0.4,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,0.132218853,,,0.999897964,0.706960122,,,1,,,0.132744626,,0.56248682,,0.767227639,0.106155749,,,,,0.665430387,1,0.60523908,,0.819654168,,,,0.48598648,hybrid
25,AK-48,0,0,0.5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.088004191,,,1,0.658340972,,,0.981670061,,,,0.490427699,,,0.890696609,0.050288109,,0.094290204,,,1,0.775893676,0.718940937,,0.647800183,,,,0.514867617,hybrid
26,AK-49,3,0,0.27,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,0.5,1,,,0.5,,,1,,1,,0.5,,,,,,0.5,,0.5,,,,,0.5,,sativa
27,Aberdeen,1,0,0.5,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0.923076923,,,0.923076923,,,,1,,1,1,1,,0.923076923,,,1,1,,,,,,,1,,hybrid
28,Abusive OG,1,0,1,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.098418278,,,0.619550757,,,0.563462836,1,,,0.036906854,,,,,0.036906854,,,0.281731418,,0.833449283,1,0.736329484,,0.48013111,,,0.641088076,0.771392793,indica
29,Acapulco Gold,3,0,0.2,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.132562494,0.674786353,,1,0.652419857,,,0.908203869,,,0.591463704,0.437418353,0.632313779,,0.840365259,,,0.506388084,,,1,,0.620805698,,0.669175649,,,,,sativa
30,Ace Killer OG,1,0,0.7,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,0.114893617,,0.5,0.765957447,1,,,,,,,,,,,0.689361702,,0.5,0.855319149,1,,1,,,,0.75,indica
31,Ace of Spades,1,0,0.6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,0.618269985,0.93435724,,,0.966297389,1,,,0.491531223,,,,,0.088366125,,,0.72009208,,0.674748627,1,0.790772303,,0.807100209,,,,0.779719033,hybrid
32,Aceh,3,0,0,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.76744186,,,0.620253165,1,,,,,,,0.790697674,,0.744186047,,,0.924050633,,,0.898734177,1,0.607594937,0.860465116,,,,,0.837209302,,sativa
33,Acid,0,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,0.407008086,0.65862069,,0.75862069,0.994827586,,,1,,,0.377358491,0.72,,,0.379310345,0.41509434,,,,,0.8,,,,1,,,0.64,0.12,hybrid
34,Acid Dough,3,0,0.3,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.916666667,0.454545455,1,0.916666667,,,1,,,,,0.681818182,,,,0.708333333,0.777777778,,,0.681818182,0.708333333,,,,,,,0.363636364,sativa
35,Afcrack,3,0,0.43,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.923076923,0.923076923,,0.769230769,1,1,,0.2,,0.818181818,,,,,0.1,,,0.272727273,0.923076923,0.181818182,,,,,0.181818182,,hybrid
36,Afghan Big Bud,3,0,0.98,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,,,,,1,,,,0.923076923,,,1,0.538461538,,,0.3,,,0.04,0.8,,0.384615385,,1,,0.45,,,,0.538461538,indica
37,Afghan Cow,0,0,0.25,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,0.90625,0.896551724,,,0.914285714,0.871428571,,,1,,,,,1,,,0.896551724,0.828571429,0.896551724,,,0.90625,,0.90625,,0.914285714,,,,,sativa
38,Afghan Diesel,1,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0.048128342,,0.650693569,1,,,,0.854981084,,,0.024064171,,,,0.670665213,,,0.262032086,0.601962923,,0.707440101,0.941112323,1,,0.943293348,,,,0.718789407,hybrid
39,Afghan Hawaiian,2,0,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,0.066666667,0.5,,,,,0.6,1,,,0.866666667,1,,,,,,0.066666667,0.466666667,,1,1,,,0.5,,,,1,indica
40,Afghan Haze,3,0,0.385,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.048231511,,,0.942896936,1,,,1,,,0.337620579,,0.843173432,,0.784122563,0.038585209,,,,0.95821727,0.800738007,0.800835655,0.773062731,,,,,0.717712177,,hybrid
41,Afghan Kush,1,0,0.95,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.290479791,,0.45458366,0.81324589,,,0.776280374,0.847742292,,,,,,,,0.137457318,,0.088463501,0.475089564,,0.689003104,1,1,,0.628270525,,,,0.847568059,indica
42,Afghan Skunk,2,0,0.85,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.681415929,,0.85046729,0.972850679,,,0.731900452,1,0.582579186,,,,,,,0.663716814,,0.03539823,,0.850678733,0.794392523,1,0.85046729,,,,,,0.887850467,indica
43,Afghan Sour Kush,1,0,0.75,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,0.571428571,,0.5,,0.466666667,,,,,0.633333333,,,1,,0.535714286,0.535714286,0.535714286,indica
44,Afghan Widow,2,0,0.55,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,0.551724138,,,0.551724138,,,,,0.482758621,1,,,,,0.076923077,,0.517241379,,,,,,1,,,,1,,0.076923077,,0.076923077,hybrid
45,Afghani,1,0,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.304836248,,,0.451036785,,0.514474068,0.684243572,1,0.410295271,,,,,,,0.15507018,,0.180774463,,,0.564421691,1,0.885566889,,0.618042777,,,,0.753261135,indica
46,Afghani Bullrider,0,0,0.96,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,0.1,,0.518754988,0.914922049,,,0.506013363,1,,,,,,0.482841181,0.542093541,0.057142857,,0.742857143,,,,1,0.52434158,,0.469042316,0.468475658,,,,indica
47,Afghani CBD,1,0,0.8,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.547244094,0.438016529,,,0.736654804,,0.279527559,0.871886121,1,,,,,,,,0.024793388,,,,0.409252669,,1,0.385826772,,0.409252669,,,,0.5,indica
48,Afghanica,2,0,0.49,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.642857143,0.714285714,,0.642857143,1,,,0.2,0.6,,,,,,0.1,,,0.6,0.714285714,0.9,,1,,,,0.7,hybrid
49,Afgoo,1,0,0.98,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.589554207,,0.434176274,0.601108673,,,0.616121954,0.873373001,,,,,,,0.502598452,0.027697178,,0.038248483,,,0.992190405,1,1,,0.791892828,,,,0.6457791,indica
50,Afgooey,1,0,0.8,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.154437283,,,0.784117067,0.556231503,0.27173913,0.492107859,1,,,,,,,,0.020823004,,0.175260288,,,0.448251418,1,0.782844991,,0.578099309,,,,0.379253308,indica
51,Afpak,2,0,0.64,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,0.125,,,0.125,1,0.0625,,,,,0.333333333,,,,,0.125,,1,1,0.666666667,,,,,,0.666666667,hybrid
52,African,2,0,0,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064935065,0.95862069,0.942528736,0.95862069,,,,1,,,,,0.402298851,,0.727586207,0.097402597,,0.435064935,,1,1,,,,0.634482759,,,,0.712643678,sativa
53,Afternoon Delight,0,0,0.56,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,0.368932039,0.638655462,,0.422330097,,,,,0.684466019,0.93015873,,0.546218487,,,,0.758730159,1,,0.369747899,0.723809524,,0.898058252,0.898412698,1,,1,,,,,hybrid
54,Afwreck,1,0,0.5,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.938931298,,0.095652174,,,0.427480916,,0.36,,1,,,0.939130435,,,,,,,1,0.946564885,,0.5,1,0.68,,0.519083969,,,,0.46,hybrid
55,Agent Orange,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.327821995,0.818562321,,0.978640389,0.707462165,,,0.900867097,,,0.368726811,,0.471623571,,1,,,0.330618437,,,1,0.71384668,0.462707447,,,,,0.399497817,,hybrid
56,Agent Tangie,0,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,0.795454545,0.84,,,,0.545454545,0.834415584,,,1,,,0.068965517,,0.92,,,,,,,,1,0.467532468,,,1,,,0.84,,hybrid
57,Air Jordan OG,3,0,0.96,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.28,0.8,,,1,,0.76,,,,,,0.6,,,,,0.956521739,1,0.956521739,,0.24,,,0.130434783,0.217391304,indica
58,Alaska,3,0,0.3,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.076433121,1,0.1625,0.917443409,0.54460719,,,1,,,0.33970276,,,,,0.32059448,0.668442077,,,,0.368269231,0.716378162,0.179807692,,,,,0.657692308,,sativa
59,Alaskan Ice,2,0,0.2,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.04040404,1,,0.676864245,,,,1,,,,,0.48,,0.577437859,1,,0.03030303,0.514340344,,0.96,,0.52,,0.867112811,,,0.44,,sativa
60,Alaskan Thunder Fuck,3,0,0.35,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.103504859,0.680630803,0.421548696,1,,,,1,,,0.211055947,,0.518811458,,0.755917895,,,0.181381652,,,0.828249518,0.676562809,0.530989808,,0.755012861,,,,,sativa
61,Albert Walker,2,0,0.555,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.787234043,,0.130841121,,0.379310345,0.964539007,,0.36677116,,1,,,,,,,0.815602837,1,,0.112149533,,,1,1,,,0.921985816,,,,0.404388715,hybrid
62,Alchemy,3,0,0.5,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,0.619047619,0.5,0.892857143,,,1,,,,,,,,,0.285714286,,0.535714286,,0.571428571,1,0.666666667,,,,,0.952380952,,hybrid
63,Alice in Wonderland,3,0,0.25,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,0.650947982,,,0.906660185,,,0.913536499,,,0.137135098,,0.70659107,,,0.123557366,,0.247114732,,,1,0.681575109,0.206945429,,0.950413223,,,0.157335223,,sativa
64,Alien Abduction,1,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.571428571,,,1,,,0.869565217,,,,,,0.8,,,0.571428571,0.826086957,0.571428571,0.869565217,,0.8,1,,,,,0.8,1,1,hybrid
65,Alien Apparition,2,0,0.44,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.333333333,0.333333333,,,0.5,0.5,0.333333333,,,,1,,0.5,,,,0.666666667,,0.5,,,hybrid
66,Alien Asshat,0,0,0.6,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,0.732142857,1,,,,0.4,0.6,,,,0.821428571,,,0.910714286,0.8,0.910714286,0.6,,,,,,,hybrid
67,Alien Breath,2,0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,1,1,0.739130435,,,0.823529412,,0.823529412,0.739130435,,,,,,,1,,,,,,0.823529412,1,hybrid
68,Alien Bubba,0,0,0.7,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.160032827,,,0.394775643,,0.337525895,0.512778297,0.886899477,0.607386838,,0.119135549,,,,,0.087128984,,,,,0.612212686,1,1,,0.719074065,,,,0.466410181,indica
69,Alien Dawg,1,1,0.7,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.206840712,,,0.420927338,,,0.598335149,1,,,0.206599996,0.444709383,,,0.500023339,,,0.120161061,,,0.627930489,1,0.744348855,,0.708721021,,,,0.73830189,indica
70,Alien Dutchess,3,0,0.14,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.917050691,,0.780337942,,,,0.566037736,,,1,,0.561320755,,1,,0.68202765,,,,1,,0.66509434,,0.766513057,,,0.386792453,,sativa
71,Alien Hallucination,0,0,0.45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0.033898305,0.61878453,,0.988950276,,0.169014085,,1,,,0.830508475,,0.112676056,,0.425414365,,,0.898305085,,,0.281690141,0.436464088,0.169014085,,1,,,,,hybrid
72,Alien Inferno,3,0,0.565,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.2,1,0.636363636,,,0.6,,,0.333333333,,0.2,,0.545454545,,0.545454545,,,,1,,0.4,,0.636363636,,,,,hybrid
73,Alien Kush,3,0,0.6,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,0.387488107,,0.737380403,,0.321459105,0.752111085,,,,0.906906051,,0.445765937,0.70273837,,0.420537665,,,,,0.744308809,,,0.747981381,1,1,,0.539426736,,,,,hybrid
74,Alien OG,0,0,0.565,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,0.236013881,,,0.967520347,0.447741553,,,1,,,0.049744581,,0.658018194,,0.684838541,,,0.264195037,,,0.795074497,1,0.67074055,,0.882975492,,,0.468523891,,hybrid
75,Alien Reunion,2,0,0.565,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0.5,,1,0.833333333,,1,,,,,,,,,0.833333333,0.5,0.666666667,0.5,,,,0.833333333,1,,1,,,1,,hybrid
76,Alien Rift,0,0,0.7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,0.668997669,0.594512195,0.025641026,,0.484756098,0.785547786,,,,0.981707317,,,0.235897436,,,,0.680652681,,,0.076923077,,,,1,1,,0.834498834,,,0.5,,indica
77,Alien Rock Candy,0,0,0.55,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.437300487,,,0.969940854,0.438768406,,,0.892462138,,,0.229548899,,,,0.614470165,,,0.364761014,,,0.887788286,1,1,,0.983710638,,,0.42099227,0.660866901,hybrid
78,Alien Sour Apple,0,0,0.395,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,0.869565217,,,0.869565217,,,0.956521739,,,0.642857143,,,,,0.5,,0.956521739,,,,,,1,,0.857142857,,1,,,,0.571428571,hybrid
79,Alien Stardawg,2,0,0.21,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.333333333,,,0.666666667,0.625,,0.333333333,,1,,,,,,,0.625,,0.541666667,,,,0.666666667,1,,,0.583333333,,,,,sativa
80,Alien Technology,3,0,1,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1,0.633333333,,,1,,,0.826086957,,,,0.683333333,0.086956522,,,0.633333333,,0.25,,0.75,,0.966666667,,,0.5,,indica
81,Alien Walker,3,0,0.51,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0.01732435,0.695248498,,1,0.683779356,,,1,,,0.01732435,,,,0.690333151,0.005774783,,,,,0.443820225,,0.471910112,,0.837793555,,,0.528089888,0.41011236,hybrid
82,Aliens On Moonshine,3,0,0.9,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,0.82078853,0.166666667,0.765957447,,,0.899641577,,0.866666667,,1,0.602150538,,,0.251515152,,,1,0.117021277,,,,,,0.754480287,1,,,,,,,indica
83,Allen Wrench,0,0,0.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,0.764607679,0.976696012,,0.963749353,,,,0.524118738,0.686172967,,0.023372287,1,0.292207792,,,,,0.030050083,,,0.430426716,,0.359925788,,0.852925945,,,,,sativa
84,Allkush,2,0,0.75,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,1,,,0.52,1,,,,,,,1,,,,,,0.75,0.56,0.125,,,,0.125,,,indica
85,Aloha,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0.053097345,0.698979592,,,0.683673469,,,0.770114943,1,,0.026548673,0.41954023,0.367816092,,0.979591837,,,,,,1,,0.471264368,,0.857142857,,,,,sativa
86,Aloha Limone,0,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,0.428571429,0.943925234,,,,,,0.476635514,,,,,0.943925234,0.428571429,,0.214285714,,0.607476636,,,,,hybrid
87,Alohaberry,2,0,0.39,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,0.186813187,,,,0.223684211,0.846153846,0.912087912,,,,,0.945054945,,,0.222222222,,,0.105263158,,0.144736842,1,,,1,,,hybrid
88,Alpha Blue,2,0,0.1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0.987733824,,0.582336707,0.509966268,,,1,,,,,0.816753927,,1,0.490272374,,0.490272374,,,0.696335079,,0.803664921,,0.599509353,,,,0.369109948,sativa
89,Alpha OG,1,0,0.5,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.051724138,,,0.622641509,,,,0.65034965,,,,,,,0.761006289,0.965517241,,0.017241379,0.578616352,,0.832167832,1,0.853146853,,0.962264151,,,1,0.811188811,hybrid
90,Alpine Blue,1,0,0.45,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,0.125,,0.958333333,1,,,,,,,0.125,,,,,,0.12,1,1,,1,,,,0.88,hybrid
