,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,strain_type
462,Cherry Kola,2,0,0.7,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45505618,,0.679867987,0.599056604,,,,1,0.610849057,,0.43258427,,0.346534653,,,,,0.45505618,0.676886792,,,1,0.491749175,,0.943396226,,,0.600660066,,indica
463,Cherry Kush,1,0,0.55,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.810265972,,0.105536252,,0.203956555,0.673796791,,,,1,,,0.341070188,,,,0.435090065,0.055269863,,,0.770792288,,0.858882855,1,0.336307215,,,,,,0.448099302,hybrid
464,Cherry Limeade,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,0.497495826,,,0.492487479,0.873287671,1,,,,0.893835616,,,,1,,,,0.008955224,,,0.497495826,,1,0.666110184,0.178082192,,,,,,,hybrid
465,Cherry OG,1,0,0.5,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511073254,0.038977368,,,,,,,0.914821124,0.761536257,0.684723416,0.055741827,,,,0.834049871,,,1,,,0.846678024,1,1,,0.951275437,,,,0.434412266,hybrid
466,Cherry Pie,1,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343202934,,0.360203821,1,,,,1,,,0.216069264,,,,0.658607226,0.108714219,,,,0.480732639,0.85189171,0.905347204,0.733618973,,0.683106168,,,,0.360364167,hybrid
467,Cherry Pie Kush,3,0,0.5,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142857143,0.847826087,0.157894737,1,,,,1,,,0.142857143,,,,0.934782609,,0.869565217,0.214285714,,,0.894736842,,0.368421053,,0.956521739,,,,0.210526316,hybrid
468,Cherry Sherbet,2,0,0.55,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.963157895,,,0.985095813,,,,1,0.917672108,,0.147368421,0.420454545,0.480113636,,,,,0.463157895,,0.870120653,0.730113636,1,0.980113636,,0.82753726,,,,,hybrid
469,Cherry Skunk,1,0,0.57,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,1,0.638888889,,,0.954545455,,,0.3,,0.5,,0.611111111,,,0.1,,,0.954545455,0.833333333,1,,0.833333333,,,0.5,,hybrid
470,Cherry Slyder,2,0,0.42,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.933333333,,,,,,0.8,,,,,0.933333333,,,,,,,0.933333333,1,,,,,,,hybrid
471,Cherry Thunder Fuck,2,0,0.47,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.468419963,,,,,1,0.517084282,,,1,,,,,0.180754918,,0.623731621,,,0.027006173,,,0.944178628,,0.523657629,,1,,,0.467836257,,hybrid
472,Chiesel,3,0,0.5,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.817599512,,0.017921147,0.729449443,,0.764678969,,,,0.990144811,,,0.086320191,,0.440868866,0.470836685,1,,,0.107228196,,,0.941874497,,1,,0.983376544,,,,,hybrid
473,China Yunnan,1,0,0.8,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487179487,,,0.884615385,1,,,,,0.5,,0.487179487,0.434782609,,,0.628205128,,1,1,,,,,,0.5,0.5,indica
474,Chiquita Banana,2,0,0.5,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596590909,0.573333333,0.373333333,,0.516666667,0.625,,,,,,,,,,0.011494253,,,,1,1,,0.563333333,,,0.494318182,0.982954545,hybrid
475,Chloe,0,0,0.45,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.947368421,0.898395722,,0.240641711,1,,,0.909090909,,,,,0.818181818,,0.994652406,,,,,,1,,,,0.914438503,0.818181818,,,0.136363636,hybrid
476,Chocolate Chunk,1,0,1,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.591169256,,,0.677414414,,,1,,,,0.21995094,1,,0.962981617,0.697403692,,,0.225674571,0.739909627,,,0.927854791,,,,,0.871946613,0.984134979,0.526567615,indica
477,Chocolate Diesel,2,0,0,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.655405405,0.458576874,0.349112426,0.754256671,,,,1,,,1,,0.765285996,,1,,,0.344594595,,0.524015248,0.83234714,0.876111817,0.358974359,,,,,,,sativa
